̼	@@@ᴅʏ''〖拉-組〗(ipa)
̩	@@@ᴅᴘ''@ʏ''〖拉-組〗(ipa)
̯	@@@ᴅᴍ''〖拉-組〗(ipa)
̚	@@@ɢᴋ''〖拉-組〗(ipa)
̰	@@@ᴅs''〖拉-組〗(ipa)
̤	@@@ᴅʙ''〖拉-組〗(ipa)
̺	@@@ᴅʀᴋ''〖拉-組〗(ipa)
̟	@@@ᴅᴛ''@ᴅᴛꜰʜ''〖拉-組〗(ipa)
̻	@@@ᴅᴏ''〖拉-組〗(ipa)
̽	@@@x''〖拉-組〗(ipa)
̹	@@@ᴅᴊ''〖拉-組〗(ipa)
̘	@@@ᴅᴛǫ''〖拉-組〗(ipa)
̙	@@@ᴅᴛǫ''〖拉-組〗(ipa)
̜	@@@ᴅᴄ''〖拉-組〗(ipa)
̴	@@@ᴢ''〖拉-組〗(ipa)
̌	@@@ᴠ''〖拉-組〗(ipa)
̂	@@@ʟ''〖拉-組〗(ipa)
̋	@@@ᴘᴘ''〖拉-組〗(ipa)
́	@@@ᴘ''〖拉-組〗(ipa)
̄	@@@ᴇ''〖拉-組〗(ipa)
̀	@@@ɴ''〖拉-組〗(ipa)
̏	@@@ɴɴ''〖拉-組〗(ipa)
̇	@@@ᴀ''〖拉-組〗(mw)
͟	@@@ᴅᴇ''〖拉-組〗(mw)
͋	@@@ᴀsᴀ''〖拉-組〗(ex-ipa)
͊	@@@sx''〖拉-組〗(ex-ipa)
͈	@@@ᴅᴘᴅᴘ''@ᴅᴘᴘ''@ʏʏ''〖拉-組〗(ex-ipa)
͉	@@@ᴅɢᴋ''〖拉-組〗(ex-ipa)
͆	@@@ʀ''〖拉-組〗(ex-ipa)
͎	@@@ᴅʟ''〖拉-組〗(ex-ipa)
͍	@@@ᴅʜ''〖拉-組〗(ex-ipa)
͌	@@@ss''〖拉-組〗(ex-ipa)
͢	@@@ᴅʟǫ''〖拉-組〗(ex-ipa)
͕	@@@ᴅᴠǫ''〖拉-組〗(ex-ipa)
͔	@@@ᴅᴠǫ''〖拉-組〗(ex-ipa)
̑	@@@ᴍ''〖拉-組〗(ex-ipa)
̧	@@@ᴊ''〖拉-組〗(ex-ipa)
̫	@@@ᴅᴜᴜ''@ᴅʏᴋ''@ᴅᴡʜ''〖拉-組〗(o/n-ipa)
̣	@@@ᴅᴀ''〖拉-組〗(o/n-ipa)
̗	@@@ᴘ''〖拉-組〗(o/n-ipa)
̍	@@@ᴘ''〖拉-組〗(o/n-ipa)
˭	ᴇᴡᴇᴡ'〖拉-小〗(ex-ipa)
ạ	ᴀᴀ'〖拉-小〗(ex-ipa)
ʩ	ꜰʜɴᴊ'@ꜰɴᴊ'〖拉-小〗(ex-ipa)
ʪ	ʟʜs'〖拉-小〗(ex-ipa)
ʫ	ʟʜᴢ'@ʟᴏᴢ'@ʟᴢᴊ'〖拉-小〗(ex-ipa)
ʬ	ᴡʜᴡ'〖拉-小〗(ex-ipa)
ʭ	ʀʜʀ'@ʀᴡʀᴡ'〖拉-小〗(ex-ipa)
¡	ɪᴀ'@ɪꜰ'〖拉-小〗(ex-ipa)
↓	ʟᴡᴋ'〖拉-小〗(ex-ipa)
↑	ʟᴡ'〖拉-小〗(ex-ipa)
ꟸ	ʜᴛʜ;〖拉-大〗(ex-ipa)
ꟹ	ᴏᴇʜ'@ᴏʜᴇʜ'〖拉-小〗(ex-ipa)
ᶹ	ᴠꜰʜ'@ʏʜ'〖拉-小〗(ex-ipa)
ꞎ	ɪᴄᴋ'@ɪᴋᴄ'@ʟᴄᴋ'@ʟᴋᴄ'〖拉-小〗(ex-ipa)
ᶚ	ᴢꜰᴄ'@ᴢꜰɢᴄ'〖拉-小〗(ex-ipa)
ʞ	ᴋᴋ'@ᴋǫ'〖拉-小〗(ex-ipa)
₍	ᴄᴡ'〖拉-小〗(ex-ipa)
₎	ᴊᴡ'〖拉-小〗(ex-ipa)
σ	sɪ'〖拉-小〗【希-小】(ex-ipa)
ᵖ	ᴘʜ'〖拉-小〗(ex-ipa)
